Age;3rd;5th;10th;25th;50th;75th;90th;95th;97th
189.5;157.9729;159.9425;162.9204;167.7576;172.9456;177.9558;182.3267;184.8843;186.5231
192.5;158.845;160.7802;163.7104;168.4805;173.6101;178.5762;182.9179;185.4623;187.0941
195.5;159.6011;161.5023;164.3856;169.0911;174.1665;179.0946;183.414;185.9498;187.5779
198.5;160.2508;162.1196;164.9587;169.6041;174.631;179.5271;183.8302;186.3613;187.9881
201.5;160.8046;162.6437;165.4424;170.0339;175.0182;179.888;184.1797;186.7091;188.3368
204.5;161.2733;163.086;165.8491;170.3931;175.341;180.1896;184.4741;187.004;188.6338
207.5;161.6676;163.4575;166.1897;170.693;175.6104;180.4426;184.723;187.255;188.8878
210.5;161.9977;163.7682;166.4743;170.9436;175.836;180.6555;184.9343;187.4694;189.1058
213.5;162.2727;164.0272;166.7116;171.1529;176.0254;180.8357;185.1146;187.6534;189.2936
216.5;162.5011;164.2424;166.9094;171.3282;176.185;180.9889;185.2692;187.812;189.456
219.5;162.69;164.4209;167.074;171.4752;176.3202;181.1199;185.4026;187.9494;189.5971
222.5;162.8458;164.5686;167.2109;171.5988;176.4352;181.2325;185.5182;188.069;189.7201
225.5;162.9741;164.6907;167.325;171.7029;176.5335;181.33;185.619;188.1736;189.8277
228.5;163.0793;164.7915;167.4199;171.791;176.6179;181.4147;185.7073;188.2653;189.9224
231.5;163.1656;164.8746;167.499;171.8657;176.6907;181.4887;185.7849;188.3462;190.0058
234.5;163.2361;164.9431;167.5651;171.9292;176.7538;181.5538;185.8535;188.4178;190.0797
237.5;163.2936;164.9995;167.6203;171.9835;176.8088;181.6111;185.9144;188.4814;190.1452
240;163.3333;165.0389;167.6593;172.0227;176.8492;181.6538;185.9599;188.529;190.1943
